LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 7073.0, 131072, 1.0, 6914.0, 32768, 63.0, 7103.0, 131072, -512.0, -1.0, 32768, -512.0, -1.0, 32768, 3615.0, 8127.0, 131135,
1, 33.0, 3761.0, 49152, 1.0, 3666.0, 24576, 63.0, 3791.0, 49152, -128.0, -1.0, 8192, -384.0, -1.0, 24576, 3791.0, 4558.0, 49152,
2, 33.0, 2993.0, 24576, 1.0, 2930.0, 24576, 63.0, 3023.0, 24576, -96.0, -1.0, 6144, -384.0, -1.0, 24576, 3023.0, 3406.0, 24576,
