LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 13169.0, 262144, 1.0, 13010.0, 32768, 63.0, 13183.0, 131072, -512.0, -1.0, 32768, -512.0, -1.0, 32768, 6655.0, 14207.0, 131135,
1, 33.0, 6801.0, 98304, 1.0, 6706.0, 24576, 63.0, 6815.0, 49152, -128.0, -1.0, 8192, -384.0, -1.0, 24576, 6815.0, 7582.0, 49152,
2, 33.0, 5265.0, 49152, 1.0, 5202.0, 24576, 63.0, 5279.0, 24576, -96.0, -1.0, 6144, -384.0, -1.0, 24576, 5279.0, 5662.0, 24576,
