LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 17.0, 7041.0, 65536, 1.0, 6898.0, 32768, 31.0, 7103.0, 262144, -512.0, -1.0, 32768, -512.0, -1.0, 32768, 1807.0, 8127.0, 262207,
1, 17.0, 2225.0, 24576, 1.0, 2018.0, 8192, 31.0, 2287.0, 98304, -384.0, -1.0, 24576, -128.0, -1.0, 8192, 1556.0, 2799.0, 98367,
2, 17.0, 2601.0, 24576, 1.0, 2458.0, 6144, 31.0, 2631.0, 49152, -384.0, -1.0, 24576, -192.0, -1.0, 12288, 2663.0, 3430.0, 49152,
