LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 17.0, 7041.0, 65536, 1.0, 6898.0, 32768, 31.0, 7103.0, 262144, -512.0, -1.0, 32768, -512.0, -1.0, 32768, 1807.0, 8127.0, 262207,
1, 17.0, 3729.0, 24576, 1.0, 3650.0, 24576, 31.0, 3791.0, 98304, -128.0, -1.0, 8192, -384.0, -1.0, 24576, 2559.0, 4303.0, 98367,
2, 17.0, 2961.0, 12288, 1.0, 2914.0, 24576, 31.0, 3023.0, 49152, -96.0, -1.0, 6144, -384.0, -1.0, 24576, 3023.0, 3790.0, 49152,
