year,first_silicon_success_pct,evidence_type,source,caveat
2012,33.5,chart_read,Wilson Research Group / Siemens EDA functional verification study series (Foster summaries),Approximate value read from unlabeled published chart bars
2014,31,chart_read,Wilson Research Group / Siemens EDA functional verification study series (Foster summaries),Approximate value read from unlabeled published chart bars
2016,33,chart_read,Wilson Research Group / Siemens EDA functional verification study series (Foster summaries),Approximate value read from unlabeled published chart bars
2018,26,chart_read,Wilson Research Group / Siemens EDA functional verification study series (Foster summaries),Approximate value read from unlabeled published chart bars
2020,32,stated,Wilson Research Group / Siemens EDA 2020 functional verification study (Foster summary),Stated in the study summary prose
2022,24,stated,Wilson Research Group / Siemens EDA 2022 functional verification study (Foster summary),Stated; then-lowest level in 20 years; 76 percent of ASIC projects required two or more spins
2024,14,stated,Wilson Research Group / Siemens EDA 2024 IC/ASIC report (Foster 2025 summary),Stated; lowest level in two decades; full 2024 PDF is registration-gated so the value is prose-stated
historical norm,30,stated,Wilson Research Group / Siemens EDA study series (Foster summaries),Stated approximate 20-year historical baseline used as the dashed reference line
