year,design_engineers_mean_peak,verification_engineers_mean_peak,evidence_type,source,caveat
2007,7.8,4.8,printed_data_label,Wilson Research Group / Siemens EDA 2020 functional verification study (Foster summary) Fig. 8,Printed data labels on the published chart
2012,8.5,8.4,printed_data_label,Wilson Research Group / Siemens EDA 2020 functional verification study (Foster summary) Fig. 8,Printed data labels on the published chart
2016,10.5,11.6,printed_data_label,Wilson Research Group / Siemens EDA 2020 functional verification study (Foster summary) Fig. 8,Printed data labels on the published chart
2020,10.3,11.4,printed_data_label,Wilson Research Group / Siemens EDA 2020 functional verification study (Foster summary) Fig. 8,Printed data labels on the published chart
2022,11.7,11.8,chart_read_constrained,Wilson Research Group / Siemens EDA 2022 functional verification study (Foster summary),Unlabeled bars; values constrained by the study's stated callouts of +50 percent design and +146 percent verification demand growth since 2007
CAGR 2007-2022,2.7 percent,6.2 percent,stated,Wilson Research Group / Siemens EDA 2022 functional verification study (Foster summary),Compound annual growth rates stated in the study summary; 2007-2020 rates stated as 3.0 percent design and 6.8 percent verification
context,ratio ~1:1 overall,up to 5:1 in processor projects,stated,Wilson Research Group / Siemens EDA 2022 functional verification study (Foster summary),Mean peak verification-to-design staffing ratio across market segments
