rung,example,slowdown_vs_silicon,source_note
Native silicon,~3 GHz core,1,"definitional baseline (~3 GHz, IPC ~1)"
Functional / ISA sim,QEMU / Spike / gem5-Atomic,30,tens-hundreds MIPS; ZSim IPC=1 up to 90 MIPS (Sanchez & Kozyrakis 2013)
Cycle-approximate,ZSim / Sniper,1000,"ZSim/Sniper detailed OOO ~1-4 MIPS/core; ZSim reports ~1000x faster than detailed cycle-accurate simulators, so this rung sits well above cycle-accurate (Sanchez & Kozyrakis 2013; Carlson et al. 2011)"
Cycle-accurate,gem5 O3 / Flexus,15000,~200 KIPS gem5/Flexus/MARSS class (Sanchez & Kozyrakis 2013)
RTL simulation,Verilator,30000,~10-292 kHz effective core clock (Chipyard; GSIM 2025)
FPGA emulation,FireSim,20,150+ MHz per node (Karandikar et al. 2018)
