operation_or_access,width_or_capacity,energy_low_pj,energy_high_pj,evidence_type,source,scope_boundary
integer add,32 bit,0.1,0.1,source-transcribed,"Horowitz, ISSCC 2014, rough energy numbers for 45 nm [@Horowitz2014Energy]","Order-of-magnitude technology anchor; not a current-node prediction"
floating-point add,32 bit,0.9,0.9,source-transcribed,"Horowitz, ISSCC 2014, rough energy numbers for 45 nm [@Horowitz2014Energy]","Order-of-magnitude technology anchor; not a current-node prediction"
integer multiply,32 bit,3,3,source-transcribed,"Horowitz, ISSCC 2014, rough energy numbers for 45 nm [@Horowitz2014Energy]","Order-of-magnitude technology anchor; not a current-node prediction"
floating-point multiply,32 bit,4,4,source-transcribed,"Horowitz, ISSCC 2014, rough energy numbers for 45 nm [@Horowitz2014Energy]","Order-of-magnitude technology anchor; not a current-node prediction"
SRAM access,8 KB 64 bit,10,10,source-transcribed,"Horowitz, ISSCC 2014, rough energy numbers for 45 nm [@Horowitz2014Energy]","Cache-access anchor; implementation and technology dependent"
SRAM access,32 KB 64 bit,20,20,source-transcribed,"Horowitz, ISSCC 2014, rough energy numbers for 45 nm [@Horowitz2014Energy]","Cache-access anchor; implementation and technology dependent"
SRAM access,1 MB 64 bit,100,100,source-transcribed,"Horowitz, ISSCC 2014, rough energy numbers for 45 nm [@Horowitz2014Energy]","On-chip-memory anchor; implementation and technology dependent"
DRAM access,64 bit,1300,2600,source-transcribed-range,"Horowitz, ISSCC 2014, rough energy numbers for 45 nm [@Horowitz2014Energy]","Off-chip-access range; system and interface dependent"
