LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 65.0, 8625.0, 262144, 1.0, 8434.0, 32768, 127.0, 8639.0, 65536, -512.0, -1.0, 32768, -512.0, -1.0, 32768, 8639.0, 9662.0, 65536,
1, 65.0, 2657.0, 98304, 1.0, 2402.0, 8192, 127.0, 2671.0, 24576, -384.0, -1.0, 24576, -128.0, -1.0, 8192, 2671.0, 3054.0, 24576,
2, 65.0, 1605.0, 49152, 1.0, 1414.0, 6144, 127.0, 1619.0, 12288, -384.0, -1.0, 24576, -96.0, -1.0, 6144, 1619.0, 1810.0, 12288,
