LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 9.0, 8513.0, 32768, 1.0, 8378.0, 32768, 15.0, 8639.0, 524288, -512.0, -1.0, 32768, -512.0, -1.0, 32768, 1095.0, 9663.0, 524351,
1, 9.0, 6465.0, 16384, 1.0, 6394.0, 24576, 15.0, 6527.0, 196608, -128.0, -1.0, 8192, -512.0, -1.0, 32768, 1663.0, 7615.0, 196671,
2, 9.0, 4049.0, 6144, 1.0, 4010.0, 24576, 15.0, 4175.0, 98304, -96.0, -1.0, 6144, -384.0, -1.0, 24576, 2799.0, 4687.0, 98367,
