LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 65.0, 8625.0, 262144, 1.0, 8434.0, 32768, 127.0, 8639.0, 65536, -512.0, -1.0, 32768, -512.0, -1.0, 32768, 8639.0, 9662.0, 65536,
1, 65.0, 4929.0, 98304, 1.0, 4802.0, 24576, 127.0, 4943.0, 24576, -128.0, -1.0, 8192, -384.0, -1.0, 24576, 4943.0, 5326.0, 24576,
2, 65.0, 4161.0, 49152, 1.0, 4066.0, 24576, 127.0, 4175.0, 12288, -96.0, -1.0, 6144, -384.0, -1.0, 24576, 4175.0, 4366.0, 12288,
